MajorAxisLength,MinorAxisLength,Class
295.4698306,196.3118225,CALI
274.8633573,211.8851392,CALI
313.570417,197.8987002,CALI
301.392791,208.3464437,CALI
357.1890036,179.8346914,CALI
330.155474,198.4615253,CALI
307.9956112,213.6247263,CALI
336.9594211,199.0051127,CALI
354.7254337,193.354325,CALI
342.7424247,203.259513,CALI
356.3926718,195.4373656,CALI
303.847956,228.0162327,CALI
353.5776383,198.3140946,CALI
345.523159,207.0296994,CALI
357.6967019,198.2257211,CALI
348.4861956,205.1891003,CALI
348.4501558,205.4062325,CALI
318.9323359,225.0086389,CALI
347.2764794,205.5303842,CALI
342.4919163,208.7955762,CALI
374.09942,194.0923458,CALI
350.6922928,205.3987297,CALI
356.1840294,203.0456968,CALI
344.9441908,210.2250507,CALI
355.9458366,204.8914494,CALI
341.5703246,212.3913014,CALI
349.8119042,210.8011319,CALI
355.3339372,205.4576502,CALI
362.5686078,203.7016423,CALI
362.9373998,204.5544341,CALI
344.4109267,213.7818121,CALI
331.8750114,224.9344364,CALI
358.6434909,207.2421815,CALI
372.4370305,201.9925213,CALI
360.6609553,206.6959192,CALI
350.1062379,212.8556695,CALI
334.8035816,223.8662565,CALI
363.1910348,208.034821,CALI
351.8374671,214.941906,CALI
370.6574503,204.0034152,CALI
368.175038,206.6187731,CALI
376.8503384,202.2688788,CALI
363.145456,208.2099472,CALI
349.7941673,217.0338863,CALI
359.7792308,211.3235495,CALI
353.5773491,214.6713018,CALI
371.6911507,203.7493708,CALI
352.1829755,215.7836786,CALI
355.4247825,214.7311272,CALI
361.3864657,210.6642569,CALI
255.0735621,157.80274,SIRA
244.102719,168.5224911,SIRA
233.8049677,179.500919,SIRA
240.9695005,175.6450402,SIRA
260.0898266,163.1027196,SIRA
257.4648986,165.036857,SIRA
265.4699791,161.0284951,SIRA
252.7723761,169.4350399,SIRA
257.4891433,166.5592919,SIRA
240.3770452,178.6807736,SIRA
259.0547378,165.8371507,SIRA
242.6749657,176.8391369,SIRA
256.203255,167.9334938,SIRA
255.8043441,168.5926382,SIRA
245.4253999,176.3160798,SIRA
265.5715834,163.6202104,SIRA
237.7722053,183.2249309,SIRA
258.1399044,168.6966258,SIRA
247.6608668,176.137973,SIRA
249.0621247,174.9936597,SIRA
255.8292238,170.8670985,SIRA
247.6193769,177.0846476,SIRA
254.0993138,173.0599093,SIRA
259.7300932,170.1627664,SIRA
259.1623421,171.4586651,SIRA
252.5251606,175.3797061,SIRA
268.2745335,166.9007759,SIRA
262.5162029,168.8110526,SIRA
252.1944891,175.8885352,SIRA
264.593648,168.2855608,SIRA
264.0184917,168.7377813,SIRA
273.7491085,163.0004469,SIRA
264.3841713,168.9600431,SIRA
250.9163364,178.0581443,SIRA
257.018073,174.0215042,SIRA
261.0852171,172.9925206,SIRA
268.4473909,167.1702673,SIRA
253.0996749,176.9096429,SIRA
265.1925197,169.6885131,SIRA
269.1178308,167.0956931,SIRA
272.6598718,165.2835727,SIRA
276.2396963,163.1613077,SIRA
255.5805925,176.7753124,SIRA
268.0805534,169.8239972,SIRA
273.1429586,165.9725366,SIRA
266.8508275,169.9283492,SIRA
262.1062149,173.2478277,SIRA
259.7683482,174.8105517,SIRA
263.2603831,173.378732,SIRA
262.5884816,173.4937258,SIRA
