Area,Perimeter,Class
114004,1279.356,BOMBAY
117034,1265.926,BOMBAY
126503,1326.959,BOMBAY
128118,1360.135,BOMBAY
129409,1348.888,BOMBAY
129807,1356.314,BOMBAY
130070,1362.228,BOMBAY
131249,1374.898,BOMBAY
131488,1368.233,BOMBAY
132254,1358.189,BOMBAY
132399,1335.884,BOMBAY
132851,1369.46,BOMBAY
132889,1373.51,BOMBAY
133760,1369.738,BOMBAY
134012,1385.807,BOMBAY
134251,1391.532,BOMBAY
135222,1371.667,BOMBAY
135403,1381.938,BOMBAY
135898,1385.644,BOMBAY
137075,1432.713,BOMBAY
137115,1427.056,BOMBAY
137358,1364.645,BOMBAY
137518,1417.944,BOMBAY
137748,1389.634,BOMBAY
137890,1410.302,BOMBAY
138059,1459.686,BOMBAY
138114,1368.731,BOMBAY
138244,1395.699,BOMBAY
138265,1396.139,BOMBAY
138659,1415.439,BOMBAY
138777,1403.006,BOMBAY
138976,1404.377,BOMBAY
139523,1410.901,BOMBAY
139639,1379.183,BOMBAY
139686,1402.293,BOMBAY
139841,1430.241,BOMBAY
140313,1432.029,BOMBAY
140867,1414.336,BOMBAY
140964,1425.6,BOMBAY
141385,1429.427,BOMBAY
141519,1442.904,BOMBAY
141850,1432.847,BOMBAY
141953,1402.05,BOMBAY
142154,1378.113,BOMBAY
142238,1425.362,BOMBAY
142399,1430.275,BOMBAY
142592,1408.745,BOMBAY
143603,1405.207,BOMBAY
144058,1463.258,BOMBAY
144079,1462.012,BOMBAY
45504,793.417,CALI
45666,789.77,CALI
48373,825.148,CALI
49245,822.642,CALI
49882,891.505,CALI
50954,865.763,CALI
51643,855.523,CALI
52448,882.474,CALI
53609,893.456,CALI
54076,893.989,CALI
54137,905.416,CALI
54343,867.59,CALI
54680,899.793,CALI
55501,898.191,CALI
55544,924.19,CALI
55549,914.595,CALI
55608,918.716,CALI
55722,897.584,CALI
55938,909.933,CALI
55972,897.386,CALI
56270,920.481,CALI
56376,921.455,CALI
56627,922.876,CALI
56675,898.464,CALI
56679,911.133,CALI
56834,910.081,CALI
57017,903.559,CALI
57017,903.261,CALI
57391,921.48,CALI
57549,929.955,CALI
57617,901.703,CALI
57786,916.524,CALI
57853,930.73,CALI
57862,951.333,CALI
57907,915.319,CALI
58094,922.37,CALI
58102,907.665,CALI
58252,950.381,CALI
58634,930.427,CALI
58740,942.69,CALI
58822,942.558,CALI
58877,964.919,CALI
58961,936.527,CALI
59039,930.334,CALI
59041,931.502,CALI
59183,934.857,CALI
59208,958.477,CALI
59338,940.712,CALI
59344,944.279,CALI
59387,930.813,CALI
